stim1,stim2,correctResp
boat,bag,1
verse,van,1
suit,seat,1
load,lake,1
tight,tape,1
chance,judge,2
gate,key,2
neck,meat,2
pants,bag,2
foam,vest,2
youth,yam,1
rose,rat,1
dog,duke,1
goal,gate,1
fat,fell,1
van,foot,2
laugh,red,2
leg,wood,2
toe,duck,2
dog,time,2
