stim1,stim2,correctResp
breakfast,teacher,1
captain,supper,1
detective,telephone,1
minister,avenue,1
dollar,stomach,1
chicken,gentleman,2
brother,glass,2
storm,jacket,2
cash,highway,2
submarine,honey,2
lawyer,bedroom,1
lady,blanket,1
mountain,cousin,1
shadow,baby,1
animal,vehicle,1
rice,furniture,2
barn,dancer,2
muscle,dress,2
celery,foot,2
shoulder,tongue,2
