stim1,stim2,correctResp
straight,gate,1
storm,form,1
might,bright,1
rich,pitch,1
dance,chance,1
pool,earth,2
down,red,2
deep,hold,2
shot,read,2
cold,ball,2
coast,most,1
floor,door,1
bowl,mole,1
mouth,south,1
soul,roll,1
star,drink,2
hard,bowl,2
chance,bright,2
note,food,2
note,shot,2
