stim1,stim2,correctResp
beef,knife,1
fat,jet,1
team,foam,1
bag,dog,1
shout,pot,1
ball,draw,2
coat,food,2
loan,arm,2
wood,note,2
book,dog,2
coat,foot,1
ship,tape,1
cook,neck,1
chin,nine,1
boat,net,1
shop,foam,2
van,team,2
shout,mad,2
math,beef,2
lake,egg,2
