stim1,stim2,correctResp
step,deep,1
glass,cross,1
cup,shop,1
frame,storm,1
dog,bag,1
cold,ball,2
dance,storm,2
bag,snake,2
deep,hold,2
mouth,step,2
earth,mouth,1
snake,block,1
phone,rain,1
book,lake,1
sleep,trip,1
book,fish,2
pool,earth,2
glass,dog,2
food,note,2
shop,grass,2
