stim1,stim2,correctResp
desk,detective,1
belt,baby,1
bank,butter,1
gift,gentleman,2
submarine,seat,1
neck,jacket,2
foot,honey,2
piano,storm,2
blanket,fence,2
celery,pot,2
worker,wood,1
train,teacher,1
pot,picture,1
forest,fish,1
coffee,coat,1
sugar,watch,2
oxygen,salt,2
quarter,professor,2
cross,artist,2
library,sister,2
