stim1,stim2,correctResp
dinner,porch,1
railroad,foot,1
artist,van,1
orchestra,lunch,1
soldier,box,1
letter,calendar,2
penny,magazine,2
baby,professor,2
gas,engineer,2
bird,camera,2
telephone,barn,1
lawyer,dog,1
stadium,bottle,1
newspaper,pocket,1
football,moon,1
lake,stadium,2
meat,forest,2
knee,journal,2
brush,medicine,2
parade,register,2
