stim1,stim2,correctResp
gentleman,submarine,1
football,cell,1
prison,bone,1
blanket,foot,1
ride,railroad,1
sister,fish,2
bedroom,ride,2
wood,coffee,2
football,quarter,2
detective,neck,2
telephone,concern,1
brain,medicine,1
storm,bedroom,1
knife,roof,1
poet,graduate,1
poet,concern,2
cross,sheep,2
bank,salt,2
laugh,pepper,2
bone,cell,2
