stim1,stim2,correctResp
battle,rattle,1
charter,harder,1
navy,gravy,1
carry,ferry,1
salad,ballad,1
power,coffee,2
sugar,treadmill,2
blanket,railroad,2
bedroom,poet,2
leather,happy,2
ocean,lotion,1
river,shiver,1
merit,carrot,1
brother,smother,1
yellow,fellow,1
hour,navy,2
gravy,yellow,2
pepper,prison,2
money,breadstick,2
concern,locker,2
